"name1","name2","street1","street2","city","state","zip","zip4","county","phone","intake_prompt","intake1","intake2","website","latitude","longitude","type_facility"
"The Renaissance Recovery Group","North Fulton Treatment Center","601 Bombay Lane","","Roswell","GA","30076","","","(770) 754-4674","","","","","34.055049","-84.335477","OTP"
"Toxicology Associates of North Georgia Carrollton, Inc.","Toxicology Associates of North Georgia Carrollton, Inc.","2536 Carollton-Villa Rica Hwy","","Carrollton","GA","30117","","","(770) 214-9788","","","","","33.6160381","-84.9978793","OTP"
"Lanier Treatment Center","","592-A Medical Park Drive","","Gainesville","GA","30501","","","(770) 503-7721","","","","","34.321322","-83.796971","OTP"
"Georgia CTC, LLC","Cumming Comprehensive Treatment Center","514 West Maple Street","","Cumming","GA","30040","","","(770) 844-7826","","","","","34.206396","-84.147524","OTP"
"Changing Phases Behavioral Support Inc.","Changing Phases Treatment Center","3655 Canton Rd","","Marietta","GA","30066","","","(770) 726-1162","","","","","34.042012","-84.529584","OTP"
"Georgia CTC, LLC","Woodstock Comprehensive Treatment Center","270 Heritage Walk","","Woodstock","GA","30188","","","(678) 494-5700","","","","","34.084115","-84.525236","OTP"
"Georgia CTC, LLC","Dallas Comprehensive Treatment Center","311 White Ingram Parkway","","Dallas","GA","30132","","","(678) 363-7447","","","","","33.9244531","-84.8413056","OTP"
"Pittard Clinic","","1654 Falls Rd.","","Toccoa","GA","30577","","","(706) 886-4420","","","","","34.5990587","-83.348486","OTP"
"HealthQwest Frontiers, LLC","","230 Riverstone Parkway","","Canton","GA","30114","","","(470) 863-6370","","","","","34.243224","-84.488131","OTP"
"Cartersville Center, LLC","Cartersville Comprehensive Treatment Center","218 Stonewall St.","","Cartersville","GA","30120","","","(770) 386-1907","","","","","34.1645224","-84.7913505","OTP"
"New Horizons Treatment Center, Inc","","36 Chateau Ct.","","Rome","GA","30161","","","(706) 233-9603","","","","","34.2208803","-85.1560092","OTP"
"Medmark Treatment Centers of Georgia, Inc.","MedMark Treatment Centers Blairsville","20 Commerce Drive","","Blairsville","GA","30512","","","(706) 781-6987","","","","","34.8717587","-83.9430627","OTP"
"Crossroads Treatment Center of Calhoun, PC","","367 Richardson Road, SE","","Calhoun","GA","30701","","","(762) 204-2451","","","","","34.471134","-84.926114","OTP"
"MedMark Treatment Centers of Georgia, Inc.","MedMark Treatment Centers Chatsworth","1289 GI Maddox Pkwy (US Hwy 76)","","Chatsworth","GA","30705","","","(706) 971-3366","","","","","34.7832126","-84.7963698","OTP"
"Ringgold Treatment Center, LLC","","8292 Highway 41","","Ringgold","GA","30736","","","(706) 952-2800","","","","","34.911515","-85.105144","OTP"
"Crossroads Treatment Center of Northwest Georgia","","4083 Cloud Springs Road","","Ringgold","GA","30736","","","(706) 820-6087","","","","","34.964381","-85.194389","OTP"
"Metro Treatment of Georgia, LP","Northwest Georgia Treatment Center, Inc.","2007 Old LaFayette Road","","Fort Oglethorpe","GA","30742","","","(706) 861-9390","","","","","34.951467","-85.259703","OTP"
"Neptune Clinical Group, Inc.","Private Clinic North","822 Chickamauga Ave.","","Rossville","GA","30741","","","(706) 861-6458","","","","","34.978979","-85.276882","OTP"
"Tri-State Treatment","","1236 Highway 299","","Wildwood","GA","30757","","","(423) 428-0045","","","","","34.980043","-85.424635","OTP"
